GENERAL ELECTIONS TO TAMIL NADU LEGISLATIVE ASSEMBLY 2021																	
No. & Name of the Assembly Constituency: 150 - JAYANKONDAM AC																	
Total No. of Electors in Assembly Constituency: 266268																	
SL. NO.	Polling Station No.	KANNAN KA SO KA	NEELAMEGAM K	SIVA J K	SORNALATHA @	NATARAJAN A	BALU K	MAHALINGAM NEELA	KESAVARAJAN V K	SATHISKUMAR R	SAMUVEL MARTIN A	SUDARVIZHI K	SEDHURAMAN R	RAJKUMAR S	NONE OF THE ABOVE	TOTAL TURNOVER	TOTAL VOTES
PARTY	0	DMK	BSP	AMMK	IJK	IND	PMK	NTK	IND	IND	IND	IND	IND	IND	NOTA	0	0
359	277	121	1	0	2	0	280	20	1	0	0	0	0	2	2	429	429
360	277(A)	190	1	1	0	1	297	12	0	0	0	0	0	3	4	509	509
361	278	288	2	7	7	0	175	29	5	0	1	0	0	2	4	520	520
362	278(A)	304	1	2	0	4	160	17	4	0	0	1	1	3	3	500	500
363	279	144	1	2	6	1	297	11	4	0	0	1	0	1	0	468	468
364	279(A)	139	2	0	2	1	301	8	6	2	1	4	3	10	7	486	486
365	280	208	2	3	8	0	253	30	6	0	0	4	1	2	4	521	521
366	280(A)	206	0	2	5	2	246	17	12	2	1	0	1	12	5	511	511
367	281	279	1	7	13	0	222	17	3	0	0	0	0	1	2	545	545
368	281(A)	275	0	5	7	1	189	10	2	1	0	1	0	3	5	499	499
369	282	241	1	5	7	1	145	29	2	1	0	0	0	2	3	437	437
370	283	299	2	0	11	0	279	79	3	2	0	0	4	5	6	690	690
371	284	352	2	11	13	2	293	25	4	1	2	0	1	3	6	715	715
372	285	732	3	5	2	1	97	25	2	0	0	0	1	5	12	885	885
373	286	167	1	1	3	0	140	15	2	1	1	0	0	2	3	336	336
374	287	350	2	6	3	0	103	34	0	1	1	0	1	1	5	507	507
375	288	331	1	4	3	1	323	24	6	1	2	2	1	5	3	707	707
376	289	329	1	0	16	3	361	19	6	0	1	1	0	4	4	745	745
377	290	341	3	7	0	1	125	35	2	1	2	0	0	4	6	527	527
378	290(A)	274	2	4	2	1	116	29	2	0	1	1	2	3	12	449	449
