GENERAL ELECTIONS TO TAMIL NADU LEGISLATIVE ASSEMBLY 2021																	
No. & Name of the Assembly Constituency: 150 - JAYANKONDAM AC																	
Total No. of Electors in Assembly Constituency: 266268																	
SL. NO.	Polling Station No.	KANNAN KA SO KA	NEELAMEGAM K	SIVA J K	SORNALATHA @	NATARAJAN A	BALU K	MAHALINGAM NEELA	KESAVARAJAN V K	SATHISKUMAR R	SAMUVEL MARTIN A	SUDARVIZHI K	SEDHURAMAN R	RAJKUMAR S	NONE OF THE ABOVE	TOTAL TURNOVER	TOTAL VOTES
PARTY	0	DMK	BSP	AMMK	IJK	IND	PMK	NTK	IND	IND	IND	IND	IND	IND	NOTA	0	0
301	232	201	2	1	19	5	387	16	3	0	1	0	2	1	2	640	640
302	233	142	2	0	15	3	311	14	5	1	0	0	0	4	3	500	500
303	234	183	0	1	8	0	250	21	1	0	0	0	0	0	2	466	466
304	234(A)	214	0	0	6	1	244	6	3	1	0	0	0	2	0	477	477
305	235	158	1	6	13	1	508	21	9	2	0	2	0	5	3	729	729
306	236	202	1	5	4	0	264	26	0	1	0	1	1	3	2	510	510
307	237	158	2	6	3	0	617	13	5	1	0	0	0	4	5	814	814
308	238	309	1	0	0	0	52	14	1	2	0	0	0	1	8	388	388
309	239	364	5	3	2	0	377	27	11	2	2	3	0	7	11	814	814
310	240	135	1	3	13	1	252	25	1	0	0	1	0	1	3	436	436
311	240(A)	164	2	3	13	1	289	15	6	0	2	1	5	8	7	516	516
312	241	400	2	3	1	1	109	19	3	0	2	0	0	1	4	545	545
313	242	265	1	4	9	0	378	15	6	1	0	0	2	4	8	693	693
314	243	322	12	0	6	2	295	13	6	0	1	0	0	1	10	668	668
315	244	213	3	1	2	0	202	30	6	0	1	0	0	2	1	461	461
316	244(A)	249	1	2	1	2	212	21	4	0	0	0	0	2	4	498	498
317	245	305	3	3	8	0	294	15	4	0	0	1	0	0	4	637	637
318	246	459	3	7	9	5	339	37	3	1	0	1	0	6	14	884	884
319	247	554	4	0	1	0	108	72	5	0	0	0	1	4	7	756	756
320	248	232	4	4	8	0	463	34	7	0	0	4	0	3	1	760	760
321	249	114	2	0	8	2	356	50	5	1	1	0	1	2	4	546	546
322	250	263	2	3	14	1	56	63	1	0	0	0	0	0	3	406	406
323	250(A)	334	2	1	14	0	54	34	3	1	1	1	1	5	6	457	457
324	251	173	3	5	19	0	272	22	2	2	1	0	0	1	6	506	506
325	251(A)	170	0	2	13	0	267	5	4	1	2	3	3	5	6	481	481
326	252	200	0	2	18	2	440	21	7	0	0	2	0	1	5	698	698
327	253	236	1	1	14	0	451	15	3	1	0	1	1	2	4	730	730
