GENERAL ELECTIONS TO TAMIL NADU MP 2024,,,,,,,,,FORM 20 - FINAL RESULT SHEET -PART - I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No. & Name of the Assembly Constituency: 150 - JAYANKONDAM AC,,,,,,,,,"GENERAL ELECTIONS TO LOK SABHA, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total No. of Electors in Assembly Constituency: 258532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SL. NO.,Polling Station No.,KARTHIYAYINI. P,CHANDRAHASAN. M (AIADMK),NEELAMEGAM. K,IND,THIRUMAAVALAVAN.THOL,JANCIRANI. R,IND,IND,IND,IND,IND,IND,IND,IND,NONE OF THE ABOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTY,0,BJP,AIADMK,BSP,OTHERS,VCK,NTK,OTHERS,OTHERS,OTHERS,OTHERS,OTHERS,OTHERS,OTHERS,OTHERS,NOTA,TOTAL TURNOVER,TOTAL VOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,263,143,262,5,1,270,22,1,0,0,1,0,0,0,0,2,707,707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,264,91,166,2,0,248,20,0,0,1,1,0,2,1,0,4,536,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,265,228,474,2,2,96,27,1,1,1,2,2,2,0,0,2,840,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,266,128,325,3,1,156,33,4,0,0,2,2,1,0,2,6,663,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,267,145,345,0,0,128,33,0,0,0,0,0,1,2,1,8,663,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,268,32,126,3,0,518,20,1,0,0,8,1,3,0,1,3,716,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,269,174,279,1,0,247,41,3,1,0,2,1,17,1,4,4,775,775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,270,180,390,3,0,401,43,4,0,0,1,3,1,3,3,3,1035,1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,271,200,655,3,1,101,29,1,0,1,1,1,0,0,2,15,1010,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,272,151,359,2,1,279,35,0,0,0,0,1,2,0,1,8,839,839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
